LOC,CC,PC,Is_Long_Method
231,38,1,TRUE
116,16,1,TRUE
100,15,0,TRUE
364,64,3,TRUE
115,17,1,TRUE
139,24,1,TRUE
126,18,2,TRUE
180,23,6,TRUE
121,11,1,TRUE
191,36,5,TRUE
102,29,2,TRUE
171,36,2,TRUE
147,2,0,TRUE
167,2,0,TRUE
364,2,0,TRUE
423,1,0,TRUE
119,15,2,TRUE
249,56,0,TRUE
385,4,0,TRUE
100,15,1,TRUE
167,19,3,TRUE
119,10,2,TRUE
113,11,2,TRUE
113,19,1,TRUE
148,25,0,TRUE
125,22,2,TRUE
369,51,2,TRUE
363,59,1,TRUE
172,24,1,TRUE
107,18,3,TRUE
194,31,7,TRUE
402,56,0,TRUE
198,34,0,TRUE
137,18,3,TRUE
114,19,8,TRUE
176,37,3,TRUE
148,19,0,TRUE
100,14,1,TRUE
143,20,4,TRUE
125,17,4,TRUE
121,20,1,TRUE
168,26,2,TRUE
153,34,2,TRUE
124,35,0,TRUE
122,31,2,TRUE
105,16,1,TRUE
124,22,9,TRUE
126,24,1,TRUE
182,37,0,TRUE
126,32,1,TRUE
183,14,0,TRUE
274,52,1,TRUE
409,73,0,TRUE
296,57,2,TRUE
102,13,4,TRUE
106,24,2,TRUE
115,15,3,TRUE
145,24,3,TRUE
481,98,2,TRUE
205,47,0,TRUE
133,22,1,TRUE
176,16,1,TRUE
109,21,5,TRUE
107,12,6,TRUE
183,32,0,TRUE
409,86,10,TRUE
212,43,27,TRUE
249,55,19,TRUE
602,134,11,TRUE
128,19,0,TRUE
166,19,3,TRUE
127,24,1,TRUE
123,26,0,TRUE
120,34,4,TRUE
132,28,1,TRUE
135,25,1,TRUE
133,24,4,TRUE
318,1,2,TRUE
334,1,2,TRUE
129,21,1,TRUE
155,29,1,TRUE
122,23,0,TRUE
125,19,0,TRUE
111,22,3,TRUE
297,52,4,TRUE
150,21,0,TRUE
148,30,2,TRUE
141,22,5,TRUE
102,15,3,TRUE
333,57,0,TRUE
128,16,0,TRUE
194,25,1,TRUE
142,23,1,TRUE
191,34,3,TRUE
536,98,8,TRUE
105,17,3,TRUE
151,26,3,TRUE
221,44,3,TRUE
170,28,3,TRUE
113,5,4,TRUE
289,20,1,TRUE
109,27,0,TRUE
226,26,1,TRUE
162,16,1,TRUE
122,20,2,TRUE
123,10,4,TRUE
109,7,3,TRUE
202,31,0,TRUE
846,90,7,TRUE
122,30,2,TRUE
115,7,0,TRUE
112,17,2,TRUE
152,5,6,TRUE
119,7,1,TRUE
106,5,3,TRUE
169,7,6,TRUE
109,17,4,TRUE
114,10,0,TRUE
126,27,1,TRUE
116,5,0,TRUE
144,5,0,TRUE
167,8,0,TRUE
145,7,0,TRUE
189,21,3,TRUE
165,25,2,TRUE
186,15,0,TRUE
127,3,1,TRUE
387,26,1,TRUE
101,8,2,TRUE
208,26,1,TRUE
198,11,0,TRUE
312,11,0,TRUE
106,6,0,TRUE
112,17,0,TRUE
202,15,0,TRUE
110,6,0,TRUE
185,9,0,TRUE
100,8,4,TRUE
398,61,1,TRUE
154,11,1,TRUE
258,44,1,TRUE
123,8,0,TRUE
175,38,0,TRUE
165,42,7,TRUE
101,24,5,TRUE
177,14,1,TRUE
392,53,0,TRUE
312,41,3,TRUE
373,54,2,TRUE
144,6,0,TRUE
163,9,0,TRUE
162,21,2,TRUE
107,11,1,TRUE
139,7,0,TRUE
101,13,1,TRUE
