NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,Is_Feature_Envy
4,0,13,8,112,28,1,0,0.307692,4,3,TRUE
1,0,2,1,14,4,0,0,0,2,2,TRUE
33,7,27,22,345,63,0,0,0.074074,2,6,TRUE
7,0,17,16,335,98,0,2,0.176471,15,3,TRUE
6,0,12,12,173,30,0,1,0.166667,0,5,TRUE
38,9,44,31,1412,270,0,1,0.045455,4,11,TRUE
1,0,3,2,104,19,0,3,0,2,2,TRUE
1,0,5,3,380,159,1,2,0,6,3,TRUE
1,0,4,3,54,6,0,3,0,6,2,TRUE
2,0,4,3,53,6,0,3,0,5,2,TRUE
1,0,5,3,88,16,1,3,0,0,2,TRUE
39,11,64,56,846,124,0,0,0.46875,22,26,TRUE
82,8,238,206,2788,537,2,0,0.117647,2,49,TRUE
27,18,27,17,480,67,0,3,0.444444,0,19,TRUE
2,1,10,9,132,18,0,1,0.5,7,9,TRUE
16,3,26,13,1452,301,0,0,0.192308,2,7,TRUE
15,9,10,2,163,31,1,0,0.4,0,2,TRUE
27,6,63,46,640,87,0,0,0.444444,2,11,TRUE
10,0,19,15,265,35,0,0,0.105263,2,6,TRUE
3,0,6,6,124,19,0,0,0.5,2,3,TRUE
3,0,3,2,61,6,0,0,0.666667,2,4,TRUE
6,0,10,0,138,30,0,0,0,2,12,TRUE
6,0,11,1,162,35,3,0,0.272727,0,13,TRUE
2,0,10,10,43,10,0,0,0,1,5,TRUE
12,1,27,23,625,106,0,0,0,8,16,TRUE
9,0,89,67,764,164,0,0,0.438202,15,28,TRUE
1,0,3,1,41,3,0,0,0.666667,0,7,TRUE
1,0,3,2,39,5,0,0,0,0,4,TRUE
1,0,9,5,81,15,0,0,0,0,3,TRUE
1,0,4,3,64,7,0,0,0,0,3,TRUE
1,0,9,5,85,16,0,0,0,0,2,TRUE
1,0,4,3,79,4,0,0,0,0,6,TRUE
1,0,8,7,123,8,0,0,0,0,10,TRUE
1,0,6,5,61,7,0,0,0.666667,0,6,TRUE
1,0,6,5,60,6,0,0,0,0,6,TRUE
4,0,13,11,219,24,0,0,0,0,9,TRUE
5,4,15,11,252,29,0,0,0,2,9,TRUE
1,0,7,4,128,8,1,0,0.285714,0,6,TRUE
2,0,27,16,391,27,0,0,0.37037,0,11,TRUE
1,0,4,3,56,4,0,0,0,0,12,TRUE
1,0,5,4,65,5,0,0,0,0,4,TRUE
1,0,7,7,43,7,0,0,0,0,3,TRUE
1,0,17,6,218,34,0,0,0.117647,0,8,TRUE
1,0,8,7,109,18,0,0,0,0,8,TRUE
1,0,17,11,245,25,0,0,0,0,12,TRUE
1,0,16,14,214,18,0,0,0,0,16,TRUE
1,0,12,11,134,12,0,0,0,0,14,TRUE
1,0,18,17,230,18,0,0,0,0,5,TRUE
4,0,12,7,185,35,0,1,0,4,15,TRUE
2,0,15,9,83,18,0,0,0.2,1,10,TRUE
2,0,62,53,735,173,1,0,0.032258,1,24,TRUE
2,0,11,7,139,38,1,0,0.272727,1,19,TRUE
2,0,11,6,183,34,0,0,0.363636,5,10,TRUE
2,0,9,5,91,26,0,0,0.222222,1,11,TRUE
2,0,7,2,140,20,0,1,0,0,12,TRUE
1,0,8,7,84,14,0,1,0.75,0,15,TRUE
2,0,10,0,78,20,0,1,0,2,9,TRUE
2,0,15,6,316,87,1,1,0.266667,3,10,TRUE
1,0,4,3,34,4,0,0,0,0,1,TRUE
1,0,3,3,18,3,0,0,0,0,1,TRUE
5,0,37,28,347,66,0,2,0.189189,27,20,TRUE
8,0,31,13,215,47,0,0,0,2,14,TRUE
2,0,18,12,152,35,0,1,0.333333,4,8,TRUE
1,0,8,7,92,8,0,0,0,0,4,TRUE
1,0,8,7,124,8,0,0,0,1,11,TRUE
1,0,7,4,163,34,0,0,0.428571,1,7,TRUE
4,0,18,13,261,38,0,1,0,11,11,TRUE
3,2,28,24,208,28,0,0,0,1,7,TRUE
1,0,3,2,34,7,0,0,0,0,3,TRUE
1,0,5,3,25,6,0,0,0,0,6,TRUE
26,4,46,7,1367,460,0,1,0.043478,2,4,TRUE
2,0,18,15,181,32,0,1,0.444444,2,13,TRUE
66,43,119,6,1060,196,0,0,0.02521,14,26,TRUE
12,0,11,0,110,24,4,0,0.818182,2,3,TRUE
1,0,6,5,66,6,0,0,0,0,7,TRUE
1,0,8,4,54,8,0,0,0,0,4,TRUE
1,0,2,2,18,2,0,0,0,0,1,TRUE
1,0,6,5,36,6,0,0,0.333333,0,5,TRUE
2,0,20,11,291,74,0,0,0.35,4,14,TRUE
1,0,18,12,152,29,0,1,0.388889,8,11,TRUE
1,0,7,2,149,34,0,0,0,1,8,TRUE
2,0,5,4,47,5,0,0,0,0,8,TRUE
2,0,4,3,46,7,0,0,0,0,3,TRUE
1,0,6,5,33,6,0,0,0,0,1,TRUE
1,0,4,3,24,4,0,0,0,0,1,TRUE
2,1,11,10,68,11,0,0,0.545455,0,3,TRUE
7,0,19,18,142,20,0,0,0.526316,0,4,TRUE
1,0,6,5,29,6,0,1,0.5,1,2,TRUE
1,0,3,1,43,12,0,2,0,1,4,TRUE
